metadata,data
AUTOR,Gustavo de Tal Ferreira
REU,Juliana da Silva Santos
NUMERO, 2252509-87.2021.8.09.0006
ACAO, Modificação de guarda + alimentos
PEDIDO_AUTOR, Guarda unilateral; Exoneração de alimentos; Pensão alimentícia
PEDIDO_REU, Apresentou acordo
ACORDO,Guarda unilateral do adolescente à mãe.;Convivência com o pai em finais de semana;alternados e primeira metade das férias.;Exoneração da obrigação alimentar fixada à mãe.;Pensão alimentícia:
DECISAO,Aceitou o acordo da forma proposta.;Determinou o pagamento das parcelas em aberto das custas processuais.;Documentos expedidos 15 dias úteis após a publicação da sentença<> condicionado ao pagamento integral das custas processuais.;Aceitou o acordo da forma proposta.
NOME_JUIZ,ALINE VIEIRA TOMÁS
CONSILIACAO,Divórcio<> com alteração do nome (A.M.B.A voltar a usar o nome de solteira).;Guarda unilateral da criança à mãe;Convivência da criança com o pai em finais de semana alternados (de sexta-feira às 18h a domingo 22h)<> primeira metade das férias<> aniversário e feriados alternados<> sendo que em 2021 o Natal será com o pai.;Pensão Alimentícia: Valor: 30% do salário mínimo + 50% dos gastos extras;Data do pagamento: dia 10 de cada mês.;orma de pagamento: depósito bancário.
